A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,decision
0.002053,AODV,88,10240,32,1,0,Route Request,0,6,42,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000914,AODV,84,16384,28,1,3000,Route Reply,100,14,46,1,0,8,10,6.38,1,2.37,4,7.84,attack
0.004124,AODV,84,16384,28,1,3000,Route Reply,100,15,46,1,0,8,10,6.38,1,2.37,4,7.84,attack
0.001123,AODV,88,10240,32,3,0,Route Request,0,8,43,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.00189,AODV,84,16384,28,1,3000,Route Reply,100,16,47,1,0,8,10,6.38,1,2.37,4,7.84,attack
0.000364,AODV,88,10240,32,4,0,Route Request,0,3,43,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.002023,AODV,88,10240,32,4,0,Route Request,0,1,46,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000986,AODV,88,10240,32,1,0,Route Request,0,6,43,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.00079,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,16,48,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.001066,AODV,88,10240,32,3,0,Route Request,0,6,44,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000934,AODV,84,0,28,4,3000,Route Reply,100,16,49,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.001315,AODV,84,0,28,3,2985,Route Reply,100,17,47,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,18,50,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000954,AODV,84,0,28,2,3000,Route Reply,100,15,50,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000914,AODV,84,16384,28,1,3000,Route Reply,100,19,49,1,0,8,10,6.38,1,2.37,4,7.84,attack
0.001185,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,15,51,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.00077,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,14,52,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.000974,AODV,84,0,28,4,5279,Route Reply,1,20,48,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000811,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,13,48,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.000994,AODV,84,0,28,2,3000,Route Reply,100,14,53,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000994,AODV,84,0,28,4,2985,Route Reply,100,15,54,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,21,49,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.001034,AODV,84,0,28,3,2970,Route Reply,100,22,50,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.003212,AODV,84,0,28,4,3000,Route Reply,100,21,50,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.003592,AODV,84,0,28,3,3000,Route Reply,100,20,51,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.001229,AODV,84,0,28,5,3000,Route Reply,100,20,52,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000914,AODV,84,0,28,5,2975,Route Reply,0,21,52,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000914,AODV,84,0,28,6,2975,Route Reply,0,20,54,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.000914,AODV,84,0,28,5,2993,Route Reply,0,16,52,1,0,8,10,6.38,1,2.37,4,7.84,normal
0.003356,AODV,84,0,28,0,0,Route Error,"1,0",13,66,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.002938,AODV,92,0,36,0,0,Route Error,"1,1,0",16,67,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.002486,AODV,76,0,20,0,0,Route Error,1,12,70,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.004173,AODV,76,0,20,0,0,Route Error,0,13,77,2,0,8,10,6.38,1,2.37,4,7.84,normal
0.913485,AODV,88,10240,32,3,0,Route Request,0,3,40,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.008,AODV,88,10240,32,4,0,Route Request,0,1,40,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.005793,AODV,88,10240,32,0,0,Route Request,0,2,40,0,0,4,21,14.25,4,2.85,12,21.05,attack
0.00005,AODV,88,10240,32,1,0,Route Request,0,1,41,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.002024,AODV,88,10240,32,2,0,Route Request,0,3,41,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001132,AODV,88,10240,32,5,0,Route Request,0,4,40,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001087,AODV,88,10240,32,2,0,Route Request,0,4,41,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001007,AODV,88,10240,32,2,0,Route Request,0,3,42,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000945,AODV,88,10240,32,5,0,Route Request,0,5,40,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001926,AODV,88,10240,32,3,0,Route Request,0,1,43,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.002107,AODV,84,16384,28,1,3000,Route Reply,100,6,42,1,0,4,21,14.25,4,2.85,12,21.05,attack
0.001811,AODV,88,10240,32,1,0,Route Request,0,5,41,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001435,AODV,88,10240,32,2,0,Route Request,0,3,43,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001649,AODV,88,10240,32,4,0,Route Request,0,4,42,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001671,AODV,88,10240,32,3,0,Route Request,0,1,45,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.00192,AODV,88,10240,32,4,0,Route Request,0,5,42,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000354,AODV,84,0,28,2,3000,Route Reply,100,7,47,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001786,AODV,84,16384,28,1,3000,Route Reply,100,6,43,1,0,4,21,14.25,4,2.85,12,21.05,attack
0.000947,AODV,88,10240,32,4,0,Route Request,0,4,43,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000515,AODV,84,0,28,2,3000,Route Reply,100,7,48,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000634,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,6,49,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.000935,AODV,84,16384,28,1,3000,Route Reply,100,6,46,1,0,4,21,14.25,4,2.85,12,21.05,attack
0.000434,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,6,50,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.00033,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,6,51,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.00041,AODV,84,0,28,2,3000,Route Reply,100,7,52,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.003108,AODV,84,0,28,3,3000,Route Reply,100,8,48,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.009046,AODV,84,0,28,3,3000,Route Reply,100,8,48,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001194,AODV,84,0,28,3,3000,Route Reply,100,7,51,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000354,AODV,84,0,28,4,3000,Route Reply,100,6,54,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000914,AODV,84,0,28,3,3000,Route Reply,100,9,52,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000914,AODV,84,0,28,3,3000,Route Reply,100,7,54,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000354,AODV,84,0,28,4,3000,Route Reply,100,6,55,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000914,AODV,84,0,28,5,2970,Route Reply,100,7,55,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000354,AODV,84,0,28,6,2970,Route Reply,100,6,56,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001014,AODV,84,0,28,2,2994,Route Reply,0,10,47,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001074,AODV,84,0,28,2,2975,Route Reply,0,11,49,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000354,AODV,84,0,28,3,2975,Route Reply,0,7,59,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000914,AODV,84,0,28,4,2975,Route Reply,0,9,58,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000995,AODV,84,0,28,2,2993,Route Reply,0,11,50,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.000354,AODV,84,0,28,3,2993,Route Reply,0,7,60,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001014,AODV,84,0,28,4,2993,Route Reply,0,8,59,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.001272,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,12,51,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.000891,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,12,52,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.001232,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,12,53,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.001055,AODV,84,0,28,3,3000,Route Reply,100,13,60,1,0,4,21,14.25,4,2.85,12,21.05,normal
0.010865,AODV,84,0,28,0,0,Route Error,"1,0",7,67,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.000354,AODV,76,0,20,0,0,Route Error,1,6,67,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.001486,AODV,76,0,20,0,0,Route Error,0,5,62,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.00663,AODV,84,0,28,0,0,Route Error,"1,0",7,72,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.000125,AODV,76,0,20,0,0,Route Error,1,6,72,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.003881,AODV,76,0,20,0,0,Route Error,1,7,74,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.00499,AODV,76,0,20,0,0,Route Error,1,6,74,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.004586,AODV,84,0,28,0,0,Route Error,"1,0",7,79,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.000081,AODV,76,0,20,0,0,Route Error,1,6,79,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.01,AODV,76,0,20,0,0,Route Error,0,6,102,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.004894,AODV,76,0,20,0,0,Route Error,0,6,111,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.000851,AODV,76,0,20,0,0,Route Error,0,5,102,2,0,4,21,14.25,4,2.85,12,21.05,normal
0.001115,AODV,84,16384,28,1,3000,Route Reply,100,11,41,1,0,8,15,8.5,2,2.68,10,14.71,attack
0.001621,AODV,88,10240,32,1,0,Route Request,0,0,40,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001126,AODV,88,10240,32,0,0,Route Request,0,10,42,0,0,8,15,8.5,2,2.68,10,14.71,attack
0.001006,AODV,88,10240,32,2,0,Route Request,0,7,40,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.00027,AODV,88,10240,32,2,0,Route Request,0,4,40,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001864,AODV,88,10240,32,1,0,Route Request,0,0,41,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001191,AODV,88,10240,32,3,0,Route Request,0,8,40,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.003233,AODV,88,10240,32,3,0,Route Request,0,2,40,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.006044,AODV,88,10240,32,1,0,Route Request,0,2,41,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000242,AODV,88,10240,32,1,0,Route Request,0,4,41,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.005581,AODV,88,10240,32,2,0,Route Request,0,8,41,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.005129,AODV,88,10240,32,2,0,Route Request,0,8,42,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001942,AODV,88,10240,32,1,0,Route Request,0,1,42,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000955,AODV,88,10240,32,3,0,Route Request,0,2,42,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000987,AODV,88,10240,32,2,0,Route Request,0,1,43,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000954,AODV,88,10240,32,2,0,Route Request,0,0,42,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001402,AODV,88,10240,32,3,0,Route Request,0,9,42,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001993,AODV,88,10240,32,2,0,Route Request,0,8,43,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001835,AODV,88,10240,32,3,0,Route Request,0,2,43,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001476,AODV,88,10240,32,2,0,Route Request,0,4,42,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001983,AODV,88,10240,32,1,0,Route Request,0,7,42,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,16384,28,1,3000,Route Reply,100,12,46,1,0,8,15,8.5,2,2.68,10,14.71,attack
0.00009,AODV,88,10240,32,3,0,Route Request,0,4,43,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001122,AODV,88,10240,32,3,0,Route Request,0,9,43,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.002387,AODV,88,10240,32,4,0,Route Request,0,1,46,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000986,AODV,88,10240,32,1,0,Route Request,0,7,43,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.00079,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,13,48,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.001381,AODV,88,10240,32,3,0,Route Request,0,7,44,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000994,AODV,84,0,28,3,3000,Route Reply,100,14,48,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000934,AODV,84,0,28,4,3000,Route Reply,100,13,49,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001314,AODV,84,0,28,3,2985,Route Reply,100,15,47,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,14,50,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001194,AODV,84,0,28,3,3000,Route Reply,100,16,51,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000955,AODV,84,0,28,2,3000,Route Reply,100,17,50,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,3,3000,Route Reply,100,18,52,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,16384,28,1,3000,Route Reply,100,19,49,1,0,8,15,8.5,2,2.68,10,14.71,attack
0.001176,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,17,51,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.001084,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,12,52,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.000974,AODV,84,0,28,4,5279,Route Reply,1,20,48,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000811,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,21,48,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.001308,AODV,84,0,28,2,3000,Route Reply,100,12,53,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000995,AODV,84,0,28,4,2985,Route Reply,100,17,54,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,22,49,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001034,AODV,84,0,28,3,2970,Route Reply,100,23,50,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.00132,AODV,84,0,28,4,3000,Route Reply,100,22,50,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000394,AODV,84,0,28,2,3000,Route Reply,100,24,48,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,3,3000,Route Reply,100,16,54,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001095,AODV,84,0,28,3,3000,Route Reply,100,20,51,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001229,AODV,84,0,28,5,3000,Route Reply,100,20,52,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000525,AODV,84,0,28,4,2970,Route Reply,100,24,49,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,5,2970,Route Reply,100,16,55,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001719,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,19,50,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,5,2975,Route Reply,0,22,52,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,6,2975,Route Reply,0,20,54,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001095,AODV,84,0,28,4,2993,Route Reply,0,14,59,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000914,AODV,84,0,28,5,2993,Route Reply,0,13,52,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.001312,AODV,84,0,28,3,3000,Route Reply,100,24,60,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.000354,AODV,84,0,28,4,3000,Route Reply,100,19,53,1,0,8,15,8.5,2,2.68,10,14.71,normal
0.014658,AODV,84,0,28,0,0,Route Error,"1,0",16,67,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.007022,AODV,84,0,28,0,0,Route Error,"1,0",16,72,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.002857,AODV,84,0,28,0,0,Route Error,1100,4,65,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.006665,AODV,76,0,20,0,0,Route Error,1,16,74,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.003357,AODV,84,0,28,0,0,Route Error,"1,0",21,66,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.003208,AODV,92,0,36,0,0,Route Error,"1,1,0",13,67,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.002488,AODV,84,0,28,0,0,Route Error,"1,0",16,79,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.003309,AODV,76,0,20,0,0,Route Error,0,21,77,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.009782,AODV,76,0,20,0,0,Route Error,0,26,102,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.000851,AODV,76,0,20,0,0,Route Error,0,26,111,2,0,8,15,8.5,2,2.68,10,14.71,normal
0.004868,AODV,88,10240,32,2,0,Route Request,0,5,40,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001167,AODV,88,10240,32,2,0,Route Request,0,4,40,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001192,AODV,88,10240,32,3,0,Route Request,0,6,40,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001147,AODV,88,10240,32,0,0,Route Request,0,8,41,0,0,10,15,6.7,1,2.69,8,11.94,attack
0.000947,AODV,88,10240,32,1,0,Route Request,0,9,40,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.00095,AODV,88,10240,32,1,0,Route Request,0,10,40,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000059,AODV,88,10240,32,3,0,Route Request,0,2,40,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.002143,AODV,88,10240,32,4,0,Route Request,0,10,41,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001546,AODV,88,10240,32,4,0,Route Request,0,9,41,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.002355,AODV,88,10240,32,1,0,Route Request,0,2,41,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.00672,AODV,88,10240,32,2,0,Route Request,0,6,41,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.004374,AODV,88,10240,32,2,0,Route Request,0,6,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001106,AODV,88,10240,32,1,0,Route Request,0,1,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000059,AODV,88,10240,32,3,0,Route Request,0,2,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001883,AODV,88,10240,32,2,0,Route Request,0,1,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.002356,AODV,88,10240,32,3,0,Route Request,0,7,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001007,AODV,88,10240,32,1,0,Route Request,0,3,41,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000987,AODV,88,10240,32,2,0,Route Request,0,6,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001088,AODV,88,10240,32,4,0,Route Request,0,10,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001508,AODV,88,10240,32,3,0,Route Request,0,2,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,16384,28,1,3000,Route Reply,100,11,44,1,0,10,15,6.7,1,2.69,8,11.94,attack
0.000947,AODV,88,10240,32,4,0,Route Request,0,9,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001167,AODV,88,10240,32,1,0,Route Request,0,3,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000967,AODV,88,10240,32,4,0,Route Request,0,10,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000967,AODV,88,10240,32,2,0,Route Request,0,4,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001086,AODV,88,10240,32,1,0,Route Request,0,5,42,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001087,AODV,88,10240,32,3,0,Route Request,0,4,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.003349,AODV,84,16384,28,1,3000,Route Reply,100,12,46,1,0,10,15,6.7,1,2.69,8,11.94,attack
0.001121,AODV,88,10240,32,3,0,Route Request,0,7,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001095,AODV,84,16384,28,1,3000,Route Reply,100,13,47,1,0,10,15,6.7,1,2.69,8,11.94,attack
0.000988,AODV,88,10240,32,4,0,Route Request,0,3,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001126,AODV,88,10240,32,4,0,Route Request,0,1,46,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001291,AODV,88,10240,32,1,0,Route Request,0,5,43,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.00007,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,13,48,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.001066,AODV,88,10240,32,3,0,Route Request,0,5,44,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000995,AODV,84,0,28,3,3000,Route Reply,100,14,48,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000374,AODV,84,0,28,4,3000,Route Reply,100,13,49,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000354,AODV,84,0,28,2,3000,Route Reply,100,14,50,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001194,AODV,84,0,28,3,3000,Route Reply,100,15,51,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000954,AODV,84,0,28,2,3000,Route Reply,100,12,50,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,0,28,3,3000,Route Reply,100,16,52,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000871,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,12,51,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.00077,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,17,52,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.003642,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,11,48,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.000994,AODV,84,0,28,2,3000,Route Reply,100,17,53,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.00131,AODV,84,0,28,4,2985,Route Reply,100,12,54,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,0,28,2,3000,Route Reply,100,18,49,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001014,AODV,84,0,28,4,3000,Route Reply,100,18,50,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000954,AODV,84,0,28,2,3000,Route Reply,100,19,48,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,0,28,3,3000,Route Reply,100,15,54,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.003714,AODV,84,0,28,4,2970,Route Reply,100,19,49,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,0,28,5,2970,Route Reply,100,15,55,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.00244,AODV,66,0,10,0,0,Route Reply Acknowledgment,0,20,50,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,0,28,4,2975,Route Reply,0,16,58,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,0,28,5,2975,Route Reply,0,18,52,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001014,AODV,84,0,28,4,2993,Route Reply,0,14,59,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000354,AODV,84,0,28,5,2993,Route Reply,0,13,52,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.001312,AODV,84,0,28,3,3000,Route Reply,100,19,60,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.000914,AODV,84,0,28,4,3000,Route Reply,100,20,53,1,0,10,15,6.7,1,2.69,8,11.94,normal
0.014659,AODV,84,0,28,0,0,Route Error,"1,0",15,67,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.007021,AODV,84,0,28,0,0,Route Error,"1,0",15,72,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.001472,AODV,84,0,28,0,0,Route Error,1100,4,65,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.0058,AODV,76,0,20,0,0,Route Error,1,15,74,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.004222,AODV,84,0,28,0,0,Route Error,"1,0",11,66,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.00009,AODV,92,0,36,0,0,Route Error,"1,1,0",13,67,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.003308,AODV,76,0,20,0,0,Route Error,0,11,77,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.001767,AODV,76,0,20,0,0,Route Error,0,23,102,2,0,10,15,6.7,1,2.69,8,11.94,normal
0.916453,AODV,88,10240,32,2,0,Route Request,0,7,40,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.001166,AODV,88,10240,32,2,0,Route Request,0,4,40,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.002834,AODV,88,10240,32,3,0,Route Request,0,8,40,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.004896,AODV,88,10240,32,3,0,Route Request,0,1,40,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.004897,AODV,88,10240,32,4,0,Route Request,0,5,40,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.001147,AODV,88,10240,32,1,0,Route Request,0,1,41,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.001139,AODV,88,10240,32,1,0,Route Request,0,4,41,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.003557,AODV,88,10240,32,1,0,Route Request,0,5,41,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.00023,AODV,88,10240,32,2,0,Route Request,0,8,41,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.001512,AODV,88,10240,32,2,0,Route Request,0,8,42,1,0,5,18,12.4,2,2.91,9,14.52,normal
0.003793,AODV,88,10240,32,3,0,Route Request,0,1,42,1,0,5,18,12.4,2,2.91,9,14.52,normal
